date,machine_name,machine_age_days,days_since_malfunction,daily_operating_hours,malfunction_component,failed_in_next_7_days
2023-05-24,Mixer 0,345,20,24.0,Hydraulic Pump,1
2023-05-25,Mixer 0,346,21,19.27,Hydraulic Pump,1
2023-05-26,Mixer 0,347,22,11.55,Hydraulic Pump,1
2023-05-27,Mixer 0,348,23,19.51,Hydraulic Pump,1
2023-05-28,Mixer 0,349,24,24.0,Hydraulic Pump,1
2023-05-29,Mixer 0,350,25,15.08,Hydraulic Pump,1
2023-05-30,Mixer 0,351,26,12.88,Hydraulic Pump,0
2023-05-31,Mixer 0,352,0,20.8,Electrical Relay,0
2023-06-01,Mixer 0,353,1,20.4,Electrical Relay,0
2023-06-02,Mixer 0,354,2,16.32,Electrical Relay,0
2023-06-03,Mixer 0,355,3,18.56,Electrical Relay,0
2023-06-04,Mixer 0,356,4,18.01,Electrical Relay,0
2023-06-05,Mixer 0,357,5,21.02,Electrical Relay,0
2023-06-06,Mixer 0,358,6,20.27,Electrical Relay,0
2023-06-07,Mixer 0,359,7,18.59,Electrical Relay,0
2023-06-08,Mixer 0,360,8,22.69,Electrical Relay,0
2023-06-09,Mixer 0,361,9,20.13,Electrical Relay,0
2023-06-10,Mixer 0,362,10,18.91,Electrical Relay,0
2023-06-11,Mixer 0,363,11,16.92,Electrical Relay,0
2023-06-12,Mixer 0,364,12,20.01,Electrical Relay,0
2023-06-13,Mixer 0,365,13,22.24,Electrical Relay,0
2023-06-14,Mixer 0,366,14,15.82,Electrical Relay,0
2023-06-15,Mixer 0,367,15,12.93,Electrical Relay,0
2023-06-16,Mixer 0,368,16,22.92,Electrical Relay,0
2023-06-17,Mixer 0,369,17,12.84,Electrical Relay,0
2023-06-18,Mixer 0,370,18,13.05,Electrical Relay,0
2023-06-19,Mixer 0,371,19,14.7,Electrical Relay,0
2023-06-20,Mixer 0,372,20,20.12,Electrical Relay,0
2023-06-21,Mixer 0,373,21,17.26,Electrical Relay,0
2023-06-22,Mixer 0,374,22,18.2,Electrical Relay,0
2023-06-23,Mixer 0,375,23,19.98,Electrical Relay,0
2023-06-24,Mixer 0,376,24,24.0,Electrical Relay,0
2023-06-25,Mixer 0,377,25,20.11,Electrical Relay,0
2023-06-26,Mixer 0,378,26,22.17,Electrical Relay,0
2023-06-27,Mixer 0,379,27,18.92,Electrical Relay,0
2023-06-28,Mixer 0,380,28,22.58,Electrical Relay,0
2023-06-29,Mixer 0,381,29,21.43,Electrical Relay,0
2023-06-30,Mixer 0,382,30,16.7,Electrical Relay,0
2023-07-01,Mixer 0,383,31,24.0,Electrical Relay,0
2023-07-02,Mixer 0,384,32,19.57,Electrical Relay,0
2023-07-03,Mixer 0,385,33,17.5,Electrical Relay,0
2023-07-04,Mixer 0,386,34,14.59,Electrical Relay,0
2023-07-05,Mixer 0,387,35,17.94,Electrical Relay,0
2023-07-06,Mixer 0,388,36,12.24,Electrical Relay,0
2023-07-07,Mixer 0,389,37,19.08,Electrical Relay,0
2023-07-08,Mixer 0,390,38,24.0,Electrical Relay,0
2023-07-09,Mixer 0,391,39,19.62,Electrical Relay,0
2023-07-10,Mixer 0,392,40,18.36,Electrical Relay,0
2023-07-11,Mixer 0,393,41,18.33,Electrical Relay,0
2023-07-12,Mixer 0,394,42,15.98,Electrical Relay,0
2023-07-13,Mixer 0,395,43,12.57,Electrical Relay,0
2023-07-14,Mixer 0,396,44,11.67,Electrical Relay,0
2023-07-15,Mixer 0,397,45,18.32,Electrical Relay,0
2023-07-16,Mixer 0,398,46,16.73,Electrical Relay,0
2023-07-17,Mixer 0,399,47,19.83,Electrical Relay,0
2023-07-18,Mixer 0,400,48,23.31,Electrical Relay,0
2023-07-19,Mixer 0,401,49,14.18,Electrical Relay,0
2023-07-20,Mixer 0,402,50,13.92,Electrical Relay,0
2023-07-21,Mixer 0,403,51,21.33,Electrical Relay,0
2023-07-22,Mixer 0,404,52,15.7,Electrical Relay,0
2023-07-23,Mixer 0,405,53,12.03,Electrical Relay,0
2023-07-24,Mixer 0,406,54,20.59,Electrical Relay,0
2023-07-25,Mixer 0,407,55,20.14,Electrical Relay,0
2023-07-26,Mixer 0,408,56,15.84,Electrical Relay,0
2023-07-27,Mixer 0,409,57,12.32,Electrical Relay,0
2023-07-28,Mixer 0,410,58,7.74,Electrical Relay,0
2023-07-29,Mixer 0,411,59,22.57,Electrical Relay,0
2023-07-30,Mixer 0,412,60,10.41,Electrical Relay,0
2023-07-31,Mixer 0,413,61,20.4,Electrical Relay,0
2023-08-01,Mixer 0,414,62,17.33,Electrical Relay,0
2023-08-02,Mixer 0,415,63,19.14,Electrical Relay,0
2023-08-03,Mixer 0,416,64,16.11,Electrical Relay,0
2023-08-04,Mixer 0,417,65,15.78,Electrical Relay,0
2023-08-05,Mixer 0,418,66,14.41,Electrical Relay,1
2023-08-06,Mixer 0,419,67,24.0,Electrical Relay,1
2023-08-07,Mixer 0,420,68,14.5,Electrical Relay,1
2023-08-08,Mixer 0,421,69,17.06,Electrical Relay,1
2023-08-09,Mixer 0,422,70,13.16,Electrical Relay,1
2023-08-10,Mixer 0,423,71,24.0,Electrical Relay,1
2023-08-11,Mixer 0,424,72,12.7,Electrical Relay,1
2023-08-12,Mixer 0,425,73,14.92,Electrical Relay,0
2023-08-13,Mixer 0,426,0,21.8,Motor,0
2023-08-14,Mixer 0,427,1,15.69,Motor,0
2023-08-15,Mixer 0,428,2,12.72,Motor,0
2023-08-16,Mixer 0,429,3,24.0,Motor,0
2023-08-17,Mixer 0,430,4,22.72,Motor,0
2023-08-18,Mixer 0,431,5,16.12,Motor,0
2023-08-19,Mixer 0,432,6,11.15,Motor,0
2023-08-20,Mixer 0,433,7,23.42,Motor,0
2023-08-21,Mixer 0,434,8,17.54,Motor,0
2023-08-22,Mixer 0,435,9,22.95,Motor,0
2023-08-23,Mixer 0,436,10,18.02,Motor,0
2023-08-24,Mixer 0,437,11,18.19,Motor,0
2023-08-25,Mixer 0,438,12,16.2,Motor,0
2023-08-26,Mixer 0,439,13,20.49,Motor,0
2023-08-27,Mixer 0,440,14,18.48,Motor,0
2023-08-28,Mixer 0,441,15,20.06,Motor,0
2023-08-29,Mixer 0,442,16,11.86,Motor,0
2023-08-30,Mixer 0,443,17,23.11,Motor,0
2023-08-31,Mixer 0,444,18,24.0,Motor,0
2023-09-01,Mixer 0,445,19,18.46,Motor,0
2023-09-02,Mixer 0,446,20,24.0,Motor,0
2023-09-03,Mixer 0,447,21,24.0,Motor,0
2023-09-04,Mixer 0,448,22,20.58,Motor,0
2023-09-05,Mixer 0,449,23,23.47,Motor,0
2023-09-06,Mixer 0,450,24,22.23,Motor,0
2023-09-07,Mixer 0,451,25,10.97,Motor,0
2023-09-08,Mixer 0,452,26,16.92,Motor,0
2023-09-09,Mixer 0,453,27,20.87,Motor,0
2023-09-10,Mixer 0,454,28,24.0,Motor,0
2023-09-11,Mixer 0,455,29,12.48,Motor,0
2023-09-12,Mixer 0,456,30,11.19,Motor,0
2023-09-13,Mixer 0,457,31,17.78,Motor,0
2023-09-14,Mixer 0,458,32,9.73,Motor,0
2023-09-15,Mixer 0,459,33,17.64,Motor,0
2023-09-16,Mixer 0,460,34,19.47,Motor,0
2023-09-17,Mixer 0,461,35,14.24,Motor,0
2023-09-18,Mixer 0,462,36,17.75,Motor,0
2023-09-19,Mixer 0,463,37,21.82,Motor,0
2023-09-20,Mixer 0,464,38,15.88,Motor,0
2023-09-21,Mixer 0,465,39,14.83,Motor,0
2023-09-22,Mixer 0,466,40,17.57,Motor,0
2023-09-23,Mixer 0,467,41,13.86,Motor,0
2023-09-24,Mixer 0,468,42,24.0,Motor,0
2023-09-25,Mixer 0,469,43,18.14,Motor,0
2023-09-26,Mixer 0,470,44,15.2,Motor,0
2023-09-27,Mixer 0,471,45,18.86,Motor,0
2023-09-28,Mixer 0,472,46,17.55,Motor,0
2023-09-29,Mixer 0,473,47,17.12,Motor,0
2023-09-30,Mixer 0,474,48,15.88,Motor,0
2023-10-01,Mixer 0,475,49,15.7,Motor,1
2023-10-02,Mixer 0,476,50,11.94,Motor,1
2023-10-03,Mixer 0,477,51,23.47,Motor,1
2023-10-04,Mixer 0,478,52,20.31,Motor,1
2023-10-05,Mixer 0,479,53,19.25,Motor,1
2023-10-06,Mixer 0,480,54,17.49,Motor,1
2023-10-07,Mixer 0,481,55,14.18,Motor,1
2023-10-08,Mixer 0,482,56,14.97,Motor,0
2023-10-09,Mixer 0,483,0,12.31,Motor,0
2023-10-10,Mixer 0,484,1,18.3,Motor,0
2023-10-11,Mixer 0,485,2,14.5,Motor,0
2023-10-12,Mixer 0,486,3,9.29,Motor,0
2023-10-13,Mixer 0,487,4,16.44,Motor,0
2023-10-14,Mixer 0,488,5,24.0,Motor,0
2023-10-15,Mixer 0,489,6,20.22,Motor,0
2023-10-16,Mixer 0,490,7,9.97,Motor,1
2023-10-17,Mixer 0,491,8,22.27,Motor,1
2023-10-18,Mixer 0,492,9,12.34,Motor,1
2023-10-19,Mixer 0,493,10,20.38,Motor,1
2023-10-20,Mixer 0,494,11,15.53,Motor,1
2023-10-21,Mixer 0,495,12,12.96,Motor,1
2023-10-22,Mixer 0,496,13,18.7,Motor,1
2023-10-23,Mixer 0,497,14,21.63,Motor,0
2023-10-24,Mixer 0,498,0,15.1,Electrical Relay,0
2023-10-25,Mixer 0,499,1,15.87,Electrical Relay,0
2023-10-26,Mixer 0,500,2,24.0,Electrical Relay,0
2023-10-27,Mixer 0,501,3,24.0,Electrical Relay,0
2023-10-28,Mixer 0,502,4,15.74,Electrical Relay,0
2023-10-29,Mixer 0,503,5,13.99,Electrical Relay,0
2023-10-30,Mixer 0,504,6,16.17,Electrical Relay,0
2023-10-31,Mixer 0,505,7,16.77,Electrical Relay,0
2023-11-01,Mixer 0,506,8,13.44,Electrical Relay,0
2023-11-02,Mixer 0,507,9,19.07,Electrical Relay,0
2023-11-03,Mixer 0,508,10,17.41,Electrical Relay,0
2023-11-04,Mixer 0,509,11,16.37,Electrical Relay,0
2023-11-05,Mixer 0,510,12,15.59,Electrical Relay,0
2023-11-06,Mixer 0,511,13,21.04,Electrical Relay,0
2023-11-07,Mixer 0,512,14,15.11,Electrical Relay,0
2023-11-08,Mixer 0,513,15,24.0,Electrical Relay,0
2023-11-09,Mixer 0,514,16,18.68,Electrical Relay,0
2023-11-10,Mixer 0,515,17,18.36,Electrical Relay,0
2023-11-11,Mixer 0,516,18,19.95,Electrical Relay,0
2023-11-12,Mixer 0,517,19,24.0,Electrical Relay,0
2023-11-13,Mixer 0,518,20,15.62,Electrical Relay,0
2023-11-14,Mixer 0,519,21,20.35,Electrical Relay,0
2023-11-15,Mixer 0,520,22,20.17,Electrical Relay,0
2023-11-16,Mixer 0,521,23,22.14,Electrical Relay,0
2023-11-17,Mixer 0,522,24,16.92,Electrical Relay,0
2023-11-18,Mixer 0,523,25,21.79,Electrical Relay,0
2023-11-19,Mixer 0,524,26,15.29,Electrical Relay,0
2023-11-20,Mixer 0,525,27,9.08,Electrical Relay,0
2023-11-21,Mixer 0,526,28,11.68,Electrical Relay,0
2023-11-22,Mixer 0,527,29,18.06,Electrical Relay,0
2023-11-23,Mixer 0,528,30,21.57,Electrical Relay,0
2023-11-24,Mixer 0,529,31,18.38,Electrical Relay,0
2023-11-25,Mixer 0,530,32,18.66,Electrical Relay,0
2023-11-26,Mixer 0,531,33,20.28,Electrical Relay,0
2023-11-27,Mixer 0,532,34,20.04,Electrical Relay,0
2023-11-28,Mixer 0,533,35,22.99,Electrical Relay,0
2023-11-29,Mixer 0,534,36,16.05,Electrical Relay,0
2023-11-30,Mixer 0,535,37,19.62,Electrical Relay,0
2023-12-01,Mixer 0,536,38,24.0,Electrical Relay,0
2023-12-02,Mixer 0,537,39,19.61,Electrical Relay,0
2023-12-03,Mixer 0,538,40,23.15,Electrical Relay,0
2023-12-04,Mixer 0,539,41,16.22,Electrical Relay,0
2023-12-05,Mixer 0,540,42,21.86,Electrical Relay,1
2023-12-06,Mixer 0,541,43,21.89,Electrical Relay,1
2023-12-07,Mixer 0,542,44,11.47,Electrical Relay,1
2023-12-08,Mixer 0,543,45,19.12,Electrical Relay,1
2023-12-09,Mixer 0,544,46,18.68,Electrical Relay,1
2023-12-10,Mixer 0,545,47,21.34,Electrical Relay,1
2023-12-11,Mixer 0,546,48,18.72,Electrical Relay,1
2023-12-12,Mixer 0,547,49,24.0,Electrical Relay,0
2023-12-13,Mixer 0,548,0,14.5,Hydraulic Pump,0
2023-12-14,Mixer 0,549,1,18.82,Hydraulic Pump,0
2023-12-15,Mixer 0,550,2,15.59,Hydraulic Pump,0
2023-12-16,Mixer 0,551,3,23.21,Hydraulic Pump,0
2023-12-17,Mixer 0,552,4,15.49,Hydraulic Pump,0
2023-12-18,Mixer 0,553,5,16.02,Hydraulic Pump,0
2023-12-19,Mixer 0,554,6,13.06,Hydraulic Pump,0
2023-12-20,Mixer 0,555,7,13.6,Hydraulic Pump,0
2023-12-21,Mixer 0,556,8,23.59,Hydraulic Pump,0
2023-12-22,Mixer 0,557,9,15.24,Hydraulic Pump,0
2023-12-23,Mixer 0,558,10,14.34,Hydraulic Pump,0
2023-12-24,Mixer 0,559,11,18.98,Hydraulic Pump,0
2023-12-25,Mixer 0,560,12,17.74,Hydraulic Pump,0
2023-12-26,Mixer 0,561,13,21.23,Hydraulic Pump,0
2023-12-27,Mixer 0,562,14,16.23,Hydraulic Pump,0
2023-12-28,Mixer 0,563,15,18.33,Hydraulic Pump,0
2023-12-29,Mixer 0,564,16,13.22,Hydraulic Pump,0
2023-12-30,Mixer 0,565,17,19.11,Hydraulic Pump,0
2023-12-31,Mixer 0,566,18,15.13,Hydraulic Pump,0
2024-01-01,Mixer 0,567,19,21.62,Hydraulic Pump,0
2024-01-02,Mixer 0,568,20,19.78,Hydraulic Pump,0
2024-01-03,Mixer 0,569,21,18.06,Hydraulic Pump,0
2024-01-04,Mixer 0,570,22,18.44,Hydraulic Pump,0
2024-01-05,Mixer 0,571,23,22.52,Hydraulic Pump,0
2024-01-06,Mixer 0,572,24,14.52,Hydraulic Pump,0
2024-01-07,Mixer 0,573,25,11.55,Hydraulic Pump,0
2024-01-08,Mixer 0,574,26,16.21,Hydraulic Pump,0
2024-01-09,Mixer 0,575,27,9.5,Hydraulic Pump,0
2024-01-10,Mixer 0,576,28,19.21,Hydraulic Pump,0
2024-01-11,Mixer 0,577,29,22.67,Hydraulic Pump,0
2024-01-12,Mixer 0,578,30,24.0,Hydraulic Pump,0
2024-01-13,Mixer 0,579,31,24.0,Hydraulic Pump,0
2024-01-14,Mixer 0,580,32,16.57,Hydraulic Pump,0
2024-01-15,Mixer 0,581,33,18.95,Hydraulic Pump,0
2024-01-16,Mixer 0,582,34,14.69,Hydraulic Pump,0
2024-01-17,Mixer 0,583,35,21.69,Hydraulic Pump,0
2024-01-18,Mixer 0,584,36,22.89,Hydraulic Pump,0
2024-01-19,Mixer 0,585,37,9.3,Hydraulic Pump,0
2024-01-20,Mixer 0,586,38,24.0,Hydraulic Pump,0
2024-01-21,Mixer 0,587,39,18.6,Hydraulic Pump,0
2024-01-22,Mixer 0,588,40,18.57,Hydraulic Pump,0
2024-01-23,Mixer 0,589,41,21.91,Hydraulic Pump,0
2024-01-24,Mixer 0,590,42,18.05,Hydraulic Pump,0
2024-01-25,Mixer 0,591,43,18.25,Hydraulic Pump,0
2024-01-26,Mixer 0,592,44,11.23,Hydraulic Pump,0
2024-01-27,Mixer 0,593,45,14.4,Hydraulic Pump,0
2024-01-28,Mixer 0,594,46,20.76,Hydraulic Pump,0
2024-01-29,Mixer 0,595,47,19.87,Hydraulic Pump,0
2024-01-30,Mixer 0,596,48,23.47,Hydraulic Pump,0
2024-01-31,Mixer 0,597,49,21.83,Hydraulic Pump,0
2024-02-01,Mixer 0,598,50,22.02,Hydraulic Pump,0
2024-02-02,Mixer 0,599,51,15.97,Hydraulic Pump,0
2024-02-03,Mixer 0,600,52,16.1,Hydraulic Pump,0
2024-02-04,Mixer 0,601,53,22.06,Hydraulic Pump,0
2024-02-05,Mixer 0,602,54,16.53,Hydraulic Pump,0
2024-02-06,Mixer 0,603,55,19.89,Hydraulic Pump,0
2024-02-07,Mixer 0,604,56,18.67,Hydraulic Pump,0
2024-02-08,Mixer 0,605,57,14.1,Hydraulic Pump,0
2024-02-09,Mixer 0,606,58,17.74,Hydraulic Pump,0
2024-02-10,Mixer 0,607,59,12.63,Hydraulic Pump,0
2024-02-11,Mixer 0,608,60,14.82,Hydraulic Pump,0
2024-02-12,Mixer 0,609,61,24.0,Hydraulic Pump,0
2024-02-13,Mixer 0,610,62,13.82,Hydraulic Pump,0
2024-02-14,Mixer 0,611,63,17.11,Hydraulic Pump,0
2024-02-15,Mixer 0,612,64,21.8,Hydraulic Pump,0
2024-02-16,Mixer 0,613,65,20.16,Hydraulic Pump,0
2024-02-17,Mixer 0,614,66,14.96,Hydraulic Pump,0
2024-02-18,Mixer 0,615,67,17.99,Hydraulic Pump,0
2024-02-19,Mixer 0,616,68,15.75,Hydraulic Pump,0
2024-02-20,Mixer 0,617,69,19.26,Hydraulic Pump,0
2024-02-21,Mixer 0,618,70,21.65,Hydraulic Pump,0
2024-02-22,Mixer 0,619,71,14.33,Hydraulic Pump,0
2024-02-23,Mixer 0,620,72,24.0,Hydraulic Pump,0
2024-02-24,Mixer 0,621,73,17.14,Hydraulic Pump,0
2024-02-25,Mixer 0,622,74,16.33,Hydraulic Pump,0
2024-02-26,Mixer 0,623,75,23.82,Hydraulic Pump,0
2024-02-27,Mixer 0,624,76,17.1,Hydraulic Pump,0
2024-02-28,Mixer 0,625,77,22.83,Hydraulic Pump,0
2024-02-29,Mixer 0,626,78,20.16,Hydraulic Pump,0
2024-03-01,Mixer 0,627,79,18.53,Hydraulic Pump,0
2024-03-02,Mixer 0,628,80,17.8,Hydraulic Pump,0
2024-03-03,Mixer 0,629,81,13.52,Hydraulic Pump,0
2024-03-04,Mixer 0,630,82,19.13,Hydraulic Pump,1
2024-03-05,Mixer 0,631,83,16.88,Hydraulic Pump,1
2024-03-06,Mixer 0,632,84,19.5,Hydraulic Pump,1
2024-03-07,Mixer 0,633,85,13.8,Hydraulic Pump,1
2024-03-08,Mixer 0,634,86,13.82,Hydraulic Pump,1
2024-03-09,Mixer 0,635,87,10.88,Hydraulic Pump,1
2024-03-10,Mixer 0,636,88,14.81,Hydraulic Pump,1
2024-03-11,Mixer 0,637,89,17.7,Hydraulic Pump,0
2024-03-12,Mixer 0,638,0,20.49,Conveyor Belt,0
